,koi_fpflag_nt,koi_fpflag_ec,koi_time0bk,koi_time0bk_err1,koi_duration,koi_duration_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_insol_err1,koi_insol_err2,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_slogg,koi_slogg_err1,koi_srad
0,0,0,170.53875,0.00216,2.9575,0.0819,-19.5,2.26,0.26,29.45,-16.65,1.0,5455.0,81.0,4.467,0.064,0.927
1,0,0,162.51384,0.00352,4.507,0.116,-35.5,2.83,0.32,2.87,-1.62,2.0,5455.0,81.0,4.467,0.064,0.927
2,0,0,175.850252,0.000581,1.7822,0.0341,-171.0,14.6,3.92,31.04,-10.49,1.0,5853.0,158.0,4.544,0.044000000000000004,0.868
3,0,0,170.30756499999998,0.000115,2.4064099999999997,0.005370000000000001,-12.8,33.46,8.5,668.95,-230.35,1.0,5805.0,157.0,4.564,0.053,0.791
4,0,0,171.59555,0.00113,1.6545,0.042,-16.9,2.75,0.88,874.33,-314.24,1.0,6031.0,169.0,4.438,0.07,1.046
5,0,0,171.20116000000002,0.00141,4.5945,0.061,-24.2,3.9,1.27,112.85,-36.7,1.0,6046.0,189.0,4.486000000000001,0.054000000000000006,0.972
6,0,0,172.97937,0.0019,3.1402,0.0673,-18.7,2.77,0.9,420.33,-136.7,2.0,6046.0,189.0,4.486000000000001,0.054000000000000006,0.972
7,0,0,179.55437,0.00461,2.429,0.165,-16.8,1.59,0.52,793.91,-258.2,3.0,6046.0,189.0,4.486000000000001,0.054000000000000006,0.972
8,0,0,132.25053,0.00253,5.022,0.136,-5.8,39.21,6.45,349.28,-365.49,1.0,6227.0,111.0,3.986,0.182,1.958
9,0,0,173.621937,0.000517,3.5347,0.0241,-33.3,5.76,0.22,4.46,-6.66,1.0,5031.0,75.0,4.485,0.083,0.848
10,0,0,122.763305,8.7e-06,1.7431900000000002,0.00107,-4.2,13.04,0.51,106.21,-95.76,1.0,5820.0,78.0,4.457,0.024,0.964
11,0,0,121.35854170000002,1.6e-05,3.88864,0.00203,-1.7,16.1,0.81,651.59,-654.46,1.0,6440.0,76.0,4.019,0.033,1.952
12,0,0,121.1194228,4.71e-05,3.19843,0.006529999999999999,-6.6,14.59,1.11,307.23,-276.48,1.0,6225.0,112.0,4.169,0.055,1.451
