,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1399,1400,9471268,K01835.01,Kepler-326 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.5803461610000005,7.037999999999999e-06,-7.037999999999999e-06,134.0754,0.00131,-0.00131,0.384,0.077,-0.384,2.097,0.0384,-0.0384,308.3,6.8,-6.8,1.38,0.09,-0.07,889.0,,,147.56,33.76,-23.82,49.8,2.0,q1_q17_dr25_tce,5103.0,101.0,-101.0,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32552999999996,46.002251,13.693
8081,8082,3749508,K07544.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,2.403704619,,,131.5641527,,,1.007,,,0.8927,,,110.6,,,27.04,5.11,-15.34,3903.0,,,54903.0,30341.52,-45896.06,1.4,2.0,q1_q17_dr25_tce,6244.0,148.0,-204.0,2.897,0.512,-0.096,10.105,1.91,-5.731,292.1059,38.836220000000004,13.151
597,598,3232859,K01090.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,8.387210055,2.133e-06,-2.133e-06,138.903759,0.000221,-0.000221,1.284,31.34,-0.104,1.6477,0.0122,-0.0122,4952.0,33.4,-33.4,72.52,11.35,-17.05,1211.0,,,509.55,209.48,-227.16,180.6,1.0,q1_q17_dr25_tce,6089.0,82.0,-82.0,4.044,0.182,-0.098,1.795,0.281,-0.422,290.862,38.35358,14.01
7464,7465,5952309,K06636.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.9056782520000001,4.6960000000000004e-06,-4.6960000000000004e-06,132.19647,0.00459,-0.00459,0.357,0.098,-0.357,1.249,0.149,-0.149,70.4,8.1,-8.1,0.78,0.23,-0.08,1901.0,,,3074.42,2708.48,-898.25,11.1,1.0,q1_q17_dr25_tce,6075.0,164.0,-201.0,4.501,0.052000000000000005,-0.20800000000000002,0.909,0.273,-0.091,289.263,41.26638,14.92
6121,6122,5942112,K05210.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,125.95781975,,,134.667118,,,,,,8.63,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,284.88382,41.248539,15.184000000000001
101,102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.99025443,1.168e-05,-1.168e-05,171.9834,0.00309,-0.00309,0.014,0.334,-0.014,5.414,0.113,-0.113,589.2,14.1,-14.1,1.7,0.1,-0.15,918.0,,,168.45,43.55,-45.45,48.5,1.0,q1_q17_dr25_tce,4667.0,140.0,-154.0,4.578,0.048,-0.027999999999999997,0.731,0.042,-0.063,287.74881,38.92955,15.842
2880,2881,5520547,K02990.01,Kepler-1401 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.20058855,7.691e-05,-7.691e-05,137.51003,0.00496,-0.00496,0.956,0.002,-0.744,4.562,0.128,-0.128,219.9,13.0,-13.0,1.7,0.47,-0.16,808.0,,,100.91,81.91,-27.32,19.2,1.0,q1_q17_dr25_tce,6038.0,163.0,-181.0,4.524,0.046,-0.184,0.898,0.248,-0.083,287.46606,40.75845,14.982000000000001
8676,8677,2580872,K06283.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,15.926632768,1.5709999999999999e-06,-1.5709999999999999e-06,145.5519669,7.8e-05,-7.8e-05,0.672,0.009,-0.009,7.42888,0.00415,-0.00415,271860.0,132.0,-132.0,57.95,14.03,-7.01,670.0,,,47.68,35.07,-15.05,2278.9,1.0,q1_q17_dr25_tce,5496.0,164.0,-164.0,4.471,0.075,-0.163,0.917,0.222,-0.111,292.52859,37.81002,14.88
5459,5460,5565486,K03742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.4125240159999999,1.83e-07,-1.83e-07,131.704429,0.000117,-0.000117,0.846,0.046,-0.037,5.74859,0.00587,-0.00587,175780.0,149.0,-149.0,68.92,20.19,-8.63,1978.0,,,3627.17,3136.17,-1284.87,1475.4,1.0,q1_q17_dr25_tce,6690.0,185.0,-278.0,4.375,0.062,-0.175,1.174,0.344,-0.147,299.37807999999995,40.757359,14.964
325,326,11502218,K00970.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.9886021,8.034e-06,-8.034e-06,171.01852,0.00159,-0.00159,0.06,0.364,-0.06,1.7376,0.0588,-0.0588,673.5,21.8,-21.8,34.39,4.71,-10.99,3145.0,,,23135.72,8030.46,-13457.76,37.1,1.0,q1_q17_dr25_tce,4813.0,50.0,-121.0,2.472,0.156,-0.11699999999999999,13.652,1.869,-4.361,289.09323,49.424484,6.974
